Mission_ID,Mission_Name,year,Space_Era,Rocket,Country,Agency,Agency_Type,Commercial_Mission,Mission_Type,Payload_Type,Payload_Mass_kg,orbit,destination,Launch_Site,Launch_Success,Mission_Success,Failure_Reason,Booster_Landing,reusable,crewed,Crew_Count,Mission_Cost_USD_M,Cost_Per_kg,AI_Assisted,AI_Role,Cost_Efficiency,Mission_Complexity,Agency_Success_Rate
M0049,USSR_Soyuz_L1957_002,1957,Space Race,Soyuz,USSR,USSR,Government,0,Science Probe,Science Probe,1991.0,LEO,LEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,103.8,52134,0,No AI Used in Mission,19.18,3.029,0.8824034334763948
M037,Sputnik 1,1957,Space Race,Unknown Name,USSR,OKB-1,Government,0,Scientific Satellite,Radio Beacon,83.6,LEO,LEO 577km,Baikonur Site 1,1,1,No Failure,0,0,0,0,131.8,34009,0,No AI Used in Mission,0.63,1.4016,1.0
M0050,USSR_Soyuz_L1957_001,1957,Space Race,Soyuz,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,2028.0,HEO,HEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,61.4,30276,0,No AI Used in Mission,33.03,2.642,0.8824034334763948
M0051,USSR_Zenit_L1958_001,1958,Space Race,Zenit,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,3879.0,GTO,GTO,Baikonur Site 1,1,1,No Failure,0,0,0,0,180.5,46532,0,No AI Used in Mission,21.49,5.684,0.8824034334763948
M0052,USA_DeltaII_L1958_001,1958,Space Race,Delta II,USA,USA,Government,0,Earth Observation,Earth Observation,1963.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,181.5,92460,0,No AI Used in Mission,10.82,3.778,0.9441147378832839
M0053,USA_Antares_L1958_003,1958,Space Race,Antares,USA,USA,Government,0,Comm Satellite,Comm Satellite,5617.0,GEO,GEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,83.0,14776,0,No AI Used in Mission,67.67,6.447,0.9441147378832839
M0054,USA_FalconHeavy_L1958_002,1958,Space Race,Falcon Heavy,USA,USA,Private,1,Comm Satellite,Comm Satellite,6177.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,97.9,15849,0,No AI Used in Mission,63.09,7.156,0.9441147378832839
M0055,USA_AtlasV_L1958_005,1958,Space Race,Atlas V,USA,USA,Government,0,Weather Satellite,Weather Satellite,3308.0,MEO,MEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,131.8,39842,0,No AI Used in Mission,25.1,4.6259999999999994,0.9441147378832839
M0056,USA_DeltaIV_L1958_004,1958,Space Race,Delta IV,USA,USA,Government,0,Earth Observation,Earth Observation,3232.0,TLI,TLI,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,128.3,39696,0,No AI Used in Mission,25.19,4.515000000000001,0.9441147378832839
M0057,USA_AtlasV_L1959_002,1959,Space Race,Atlas V,USA,USA,Private,1,Military Sat,Military Sat,7724.0,ISS,ISS,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,55.7,7211,0,No AI Used in Mission,138.67,8.281,0.9441147378832839
