year,global_space_economy_bn,commercial_share_pct,government_share_pct,satellite_services_bn,launch_services_bn,satellite_manufacturing_bn,ground_equipment_bn,total_orbital_launches,new_satellites_deployed,private_investment_bn,vc_space_deals,major_operators,notes
2000,130,55,45,77,2.5,18,32,85,50,0.3,5,"NASA,ESA,Roscosmos,JAXA",Pre-SpaceX era; govt dominated
2005,177,56,44,97,3.5,28,48,55,65,0.5,8,"NASA,ESA,Roscosmos,Boeing,Lockheed",Shuttle era; cost >$500M/launch
2010,276,59,41,157,4.8,48,66,74,80,1.2,21,"NASA,SpaceX,ULA,Roscosmos",SpaceX Falcon 9 first launch; New Space begins
2012,304,61,39,189,5.4,51,59,78,95,2.1,31,"SpaceX,ULA,Roscosmos,NASA",SpaceX Dragon reaches ISS
2015,335,62,38,200,5.8,55,74,86,150,3.9,55,"SpaceX,ULA,Roscosmos,Arianespace",Falcon 9 first landing; reuse era begins
2016,339,63,37,204,5.5,57,72,85,200,4.2,61,"SpaceX,ULA,Roscosmos,Arianespace",OneWeb founded; small sat boom
2017,348,64,36,208,5.7,58,76,90,320,5.8,78,"SpaceX,ULA,Roscosmos,CASC",SpaceX reflown booster first time
2018,360,65,35,216,6.0,59,79,114,380,8.9,98,"SpaceX,CASC,ULA,Arianespace",China overtakes Russia in launches; SpaceX 21 launches
2019,366,66,34,218,6.6,59,83,102,600,7.4,89,"SpaceX,CASC,Roscosmos",Starlink begins; 60-sat launches change paradigm
2020,371,68,32,222,6.2,60,83,114,1200,8.7,103,"SpaceX,CASC,Roscosmos,ULA",COVID year; SpaceX crewed flight; 1200 new sats
2021,386,70,30,233,6.8,61,85,146,1900,17.1,143,"SpaceX,CASC,Roscosmos,RocketLab","Record launches; Bezos, Branson suborbital; Ingenuity flies"
2022,424,72,28,262,7.6,65,89,186,2500,20.5,167,"SpaceX,CASC,Roscosmos,RocketLab",SpaceX 61 launches; JWST sees first light; DART hits asteroid
2023,546,74,26,340,8.8,72,125,212,2877,16.8,155,"SpaceX,CASC,Roscosmos,RocketLab,Isro",SpaceX 98 launches; Starship test flights; India Moon south pole
2024,630,76,24,390,10.2,81,149,261,3500,14.5,148,"SpaceX,CASC,Roscosmos,BlueOrigin,RocketLab",SpaceX 134 launches; Starship catches booster; Europa Clipper
