mission_id,mission_name,launch_date,year,space_era,rocket_name,country,agency,agency_type,is_commercial,mission_type,payload_type,payload_mass_kg,orbit,destination,launch_site,launch_success,mission_success,failure_reason,booster_landing,reusable,crewed,crew_count,cost_usd_millions,cost_per_kg,ai_assisted,ai_role,source
M0049,USSR_Soyuz_L1957_002,1957-09-07,1957,Space Race,Soyuz,USSR,USSR,Government,0,Science Probe,Science Probe,1991.0,LEO,LEO,Plesetsk LC-132,1,1,,0,0,0,0,103.8,52134.6,0,,JSR/UNOOSA_derived
M037,Sputnik 1,1957-10-04,1957,Space Race,,USSR,OKB-1,Government,0,Scientific Satellite,Radio Beacon,83.6,LEO,LEO 577km,Baikonur Site 1,1,1,,0,0,0,0,,,0,,Curated_Real_Missions
M0050,USSR_Soyuz_L1957_001,1957-12-18,1957,Space Race,Soyuz,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,2028.0,HEO,HEO,Baikonur Site 1,1,1,,0,0,0,0,61.4,30276.1,0,,JSR/UNOOSA_derived
M0051,USSR_Zenit_L1958_001,1958-01-25,1958,Space Race,Zenit,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,3879.0,GTO,GTO,Baikonur Site 1,1,1,,0,0,0,0,180.5,46532.6,0,,JSR/UNOOSA_derived
M0052,USA_DeltaII_L1958_001,1958-02-13,1958,Space Race,Delta II,USA,USA,Government,0,Earth Observation,Earth Observation,1963.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,181.5,92460.5,0,,JSR/UNOOSA_derived
M0053,USA_Antares_L1958_003,1958-02-28,1958,Space Race,Antares,USA,USA,Government,0,Comm Satellite,Comm Satellite,5617.0,GEO,GEO,Kennedy LC-39A,1,1,,0,0,0,0,83.0,14776.6,0,,JSR/UNOOSA_derived
M0054,USA_FalconHeavy_L1958_002,1958-07-03,1958,Space Race,Falcon Heavy,USA,USA,Private,1,Comm Satellite,Comm Satellite,6177.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,97.9,15849.1,0,,JSR/UNOOSA_derived
M0055,USA_AtlasV_L1958_005,1958-12-18,1958,Space Race,Atlas V,USA,USA,Government,0,Weather Satellite,Weather Satellite,3308.0,MEO,MEO,Vandenberg SLC-4E,1,1,,0,0,0,0,131.8,39842.8,0,,JSR/UNOOSA_derived
M0056,USA_DeltaIV_L1958_004,1958-12-22,1958,Space Race,Delta IV,USA,USA,Government,0,Earth Observation,Earth Observation,3232.0,TLI,TLI,Cape Canaveral SLC-40,1,1,,0,0,0,0,128.3,39696.8,0,,JSR/UNOOSA_derived
M0057,USA_AtlasV_L1959_002,1959-01-04,1959,Space Race,Atlas V,USA,USA,Private,1,Military Sat,Military Sat,7724.0,ISS,ISS,Vandenberg SLC-4E,1,1,,0,0,0,0,55.7,7211.3,0,,JSR/UNOOSA_derived
