ai_application_id,year,mission_or_program,agency,country,ai_category,ai_subcategory,algorithm_type,tech_name,description,impact,open_source,data_volume_gb,compute_used,accuracy_pct,discovery_type
AI001,2012,Mars Curiosity Rover,NASA/JPL,United States,Autonomous Navigation,Path Planning,Model-based Reasoning,AEGIS (Autonomous Exploration for Gathering Increased Science),AI selects and targets science observations autonomously without Earth input,Increased science data collection by 10x; targets rocks/clouds independently,1,5.0,Onboard RAD750 CPU,92.0,Enhanced Science Collection
AI002,2020,Mars Perseverance Rover,NASA/JPL,United States,Autonomous Navigation,Terrain Classification,Deep Learning CNN,SPOC (Soil Property and Object Classification),Neural network classifies terrain safety for autonomous driving up to 200m/day,Rover drives 3x farther than Curiosity autonomously,1,0.5,3DAS Processor,94.0,Autonomous Mobility
AI003,2021,Ingenuity Mars Helicopter,NASA/JPL,United States,Autonomous Flight,Real-time Control,Computer Vision + Control Loops,Qualcomm Snapdragon 801 AI flight,First powered flight on another planet; autonomous navigation with onboard AI,Completed 72 flights; proved AI flight on Mars feasible,1,0.1,Qualcomm Snapdragon 801,99.2,Powered Flight on Mars
AI004,2019,Starlink Constellation,SpaceX,United States,Collision Avoidance,Conjunction Analysis,ML Orbit Prediction,Starlink Autonomous Avoidance,AI predicts and avoids conjunction events autonomously without human approval,Managed 1600+ satellites; prevented thousands of collisions,0,500.0,Onboard AI + Ground Servers,99.9,Safe Mega-Constellation Operation
AI005,2020,SpaceX Crew Dragon,SpaceX/NASA,United States,Autonomous Docking,Rendezvous & Proximity,Computer Vision + PD Control,Dragon Autonomous Docking System,"Fully autonomous ISS docking; AI handles final approach, no crew input needed",First autonomous commercial crew docking to ISS,0,10.0,Dragon Flight Computers,99.8,Commercial Crew Autonomy
AI006,2023,SLIM (Smart Lander for Investigating Moon),JAXA,Japan,Precision Landing,Image-based Navigation,Computer Vision Pattern Matching,SfM (Structure from Motion) terrain matching,AI compares real-time camera images to pre-loaded crater map for 100m precision landing,Landed within 55m of target; most precise Moon landing ever,0,2.0,Onboard RISC processor,99.5,Precision Planetary Landing
AI007,2023,Chandrayaan-3,ISRO,India,Autonomous Landing,Hazard Detection,Image Processing + Rule-based AI,Lander Hazard Detection and Avoidance (LHDA),AI analyses surface images to detect and avoid boulders and craters during landing,First successful landing on Moon's south pole,0,1.0,Lander Onboard Computer,99.0,South Pole Lunar Landing
AI008,2016,OSIRIS-REx,NASA,United States,Sample Collection,Touch-and-Go Guidance,Computer Vision + GNC,Natural Feature Tracking (NFT),AI tracks surface features at 0.2m/s approach to enable precise sample collection,Collected 121g of asteroid Bennu material; returned to Earth 2023,0,5.0,RAD750 Processor,95.0,Asteroid Sample Collection
AI009,2021,James Webb Space Telescope,NASA/ESA/CSA,Multinational,Science Scheduling,Observation Optimization,Integer Programming + ML,JWST Science Scheduling System,AI optimizes telescope pointing schedule across thousands of competing observation requests,Efficiently serves 6000+ observation programs; discovered oldest galaxies,0,50000.0,STScI Ground Servers,90.0,Deep Universe Observation
AI010,2022,Artemis I,NASA,United States,Health Monitoring,Predictive Maintenance,Anomaly Detection ML,ISHM (Integrated System Health Management),"AI monitors 10,000+ sensor channels in real-time; predicts failures before they occur",Detected SLS engine sensor anomaly before launch; ensured mission safety,0,1000.0,Ground Control Servers,96.0,Mission Safety Enhancement
AI011,2018,Chang'e 4 / Yutu-2 Rover,CNSA,China,Autonomous Navigation,Visual Odometry,Stereo Vision + SLAM,Yutu-2 Autonomous Navigation,AI navigates Moon's far side where Earth comms require relay satellite; 40-min delay,Longest operational lunar rover; navigated >1500m on far side,0,50.0,Onboard FPGA,91.0,Moon Far Side Exploration
AI012,2020,Tianwen-1 Mars Mission,CNSA,China,Autonomous Landing,EDL Sequence Control,Model-predictive Control + Vision,Zhurong EDL Autonomy,"6-min autonomy for Entry, Descent, Landing at Mars; no Earth command possible",China's first successful Mars landing; Zhurong rover operates on Utopia Planitia,0,100.0,Lander AI Computer,98.0,First Chinese Mars Landing
AI013,2024,Europa Clipper,NASA/JPL,United States,Onboard Science,Data Triage,Edge AI / Embedded ML,Onboard Science Autonomy (OSA),AI selects which data to transmit given deep space bandwidth limits; 40min Earth delay,Maximizes science return for Jupiter moon flyby; detects plume events in real-time,1,100000.0,RAD5500 Space Processor,88.0,Ocean Moon Investigation
AI014,2021,DART Planetary Defense,NASA/APL,United States,Terminal Guidance,Impact Targeting,Computer Vision + GNC,SMART Nav (Small-body Maneuvering Autonomous Real Time Navigation),"AI locates and targets asteroid Dimorphos among background stars, guides final impact",First planetary defense test; changed asteroid orbit by 32 minutes,0,5.0,Onboard Computer,99.9,Planetary Defense Proven
AI015,2023,Starship IFT Program,SpaceX,United States,Flight Termination,Autonomous Safety,Rule-based + State Machine AI,Autonomous Flight Termination System (AFTS),Onboard AI decides to terminate flight autonomously if trajectory deviates; no human delay,Replaced range officer with AI for faster safe response,0,5.0,Onboard Flight Computers,99.99,Autonomous Safety System
AI016,2014,Hayabusa2 / Ryugu,JAXA,Japan,Sample Collection,Precision Touchdown,Computer Vision + LiDAR,Hayabusa2 Autonomous Touchdown,AI performs two precision touchdowns on 1km asteroid using real-time surface sensing,Returned 5.4g pristine asteroid sample; oldest organic molecules found,0,50.0,Onboard AI,99.3,Organic Molecules in Asteroid
AI017,2023,Psyche Mission,NASA/JPL,United States,Science Planning,Observation Prioritization,Hierarchical Task Network (HTN),ASPEN/CASPER Onboard Planner,AI builds daily science observation plans autonomously onboard without Earth uplink,Maximizes metal asteroid science across 26-month orbital mission,1,500.0,RAD750,85.0,Metallic Asteroid Investigation
AI018,2022,Exoplanet Discovery (Kepler/TESS AI reanalysis),NASA + Google,United States,Data Analysis,Exoplanet Detection,Deep Learning CNN,ExoMiner (NASA) + AstroNet (Google),AI reanalysed Kepler light curves; found 301 confirmed exoplanets missed by human review,Boosted confirmed exoplanet count; can process 10M+ light curves,1,2600.0,Google TPUs + NASA Supercomputers,97.6,301 New Exoplanets
AI019,2023,Black Hole Imaging (EHT AI Enhancement),MIT+Harvard+ESO,Multinational,Data Analysis,Image Reconstruction,Deep Learning + CLEAN Algorithm,PRIMO (Principal-component Interferometric Modeling),ML fills gaps in sparse radio telescope data to sharpen Event Horizon Telescope images,Improved resolution of M87* and Sgr A* black hole images by 3x,1,5000.0,Supercomputer Clusters,94.0,Sharpened Black Hole Images
AI020,2024,Falcon 9 Booster Landings,SpaceX,United States,Autonomous Landing,Propulsive Descent,Convex Optimization + Neural Net,"Guidance, Navigation & Control (GNC) AI",AI solves rocket landing trajectory in real-time using convex optimization (G-FOLD algorithm adapted),"290+ successful landings; reduced cost-per-kg from $54,000 to $2,700",0,5.0,Onboard Avionics,97.0,Reusable Rocket Economy
AI021,2021,BepiColombo (Mercury Mission),ESA/JAXA,Europe,Navigation,Gravity Assist Planning,Trajectory Optimization ML,ESA GODOT + AI trajectory refinement,AI optimizes gravity assist trajectories across 9 planetary flybys over 7-year journey,On course for Mercury 2025; fuel savings >20% vs manual design,0,5.0,ESA Ground Computing,99.5,Multi-gravity-assist Efficiency
AI022,2024,Intuitive Machines IM-1 (NOVA-C),Intuitive Machines/NASA,United States,Navigation,Laser Navigation,LiDAR Point Cloud AI,NDL (Navigation Doppler LiDAR) + AI,AI processes LiDAR returns to estimate velocity and altitude near lunar surface,First US landing on Moon since 1972; tipped but transmitted data,0,5.0,NVIDIA Jetson AI board,85.0,Commercial Lunar Landing
AI023,2025,Starship Mechazilla Catch,SpaceX,United States,Autonomous Precision,Booster Catch,Computer Vision + GNC Real-time,Chopstick Catch AI System,AI guides 71m Super Heavy booster to be caught by launch tower arms with cm accuracy,Eliminates landing legs; enables full reuse within hours; no rocket in history has done this,0,5.0,Starbase Ground Computers,99.0,Tower-catch Rocket Reuse
AI024,2024,TESS + AI Exoplanet Pipeline,NASA/MIT,United States,Data Analysis,Transit Detection,Random Forest + LSTM,TESS Quick Look Pipeline + AutoML,ML automates planet candidate detection from TESS photometric light curves,"Identified 7,000+ exoplanet candidates; confirmed 400+ new planets",1,15000.0,NASA HPC + Cloud,91.0,Exoplanet Census
AI025,2023,Starlink Satellite Avoidance AI,SpaceX,United States,Collision Avoidance,Fleet Conjunction Management,Predictive ML + Optimization,Starlink Autonomous Maneuver Planner,"AI manages 5000+ satellites; executes 50,000+ avoidance maneuvers/month autonomously",Zero collisions in constellation to date; operates without human approval,0,10000.0,SpaceX Ground Servers + Onboard,99.99,Mega-constellation Safety
